rank,num_parameters,best_epoch,best_val_ssim,best_val_psnr,best_val_mae,best_val_loss,config_id,experiment_name,seed,model_name,channels,normalization,activation,group_count,upsampling,family_specific_config,lr,weight_decay,loss_name,l1_weight,ssim_weight,epochs,validation_rate,batch_size,num_workers,mixed_precision,deterministic,monitor,mode_monitor,min_delta,patience,tie_breaker,mode_tie_breaker
115,482915,53,0.8104152679443359,18.458309173583984,0.1085403636097908,0.12474921000176582,e1431c01238e,illumination_guided_unet_grid_seed_0_screening_part_02,0,illumination_guided_unet,"[16, 32, 64, 128]",batch,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
116,1925955,93,0.8102371096611023,18.87156105041504,0.10421108454465866,0.12132143650365912,b791de19e351,illumination_guided_unet_grid_seed_0_screening_part_07,0,illumination_guided_unet,"[32, 64, 128, 256]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
117,482915,53,0.8101621866226196,18.535751342773438,0.10850665718317032,0.12477288060430167,d8cbbef5631c,illumination_guided_unet_grid_seed_0_screening_part_02,0,illumination_guided_unet,"[16, 32, 64, 128]",batch,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
118,7763395,32,0.809536337852478,19.112150192260742,0.09919555485248566,0.11744916395864625,71402bcb8efd,illumination_guided_unet_grid_seed_0_screening_part_16,0,illumination_guided_unet,"[32, 64, 128, 256, 512]",batch,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
119,7763395,18,0.8087171316146851,19.14678382873535,0.10001906752586365,0.11827183266480763,dd698504e471,illumination_guided_unet_grid_seed_0_screening_part_16,0,illumination_guided_unet,"[32, 64, 128, 256, 512]",batch,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
120,7763395,19,0.8086934685707092,18.985925674438477,0.10080153495073318,0.11890253770178642,adde3d6427ee,illumination_guided_unet_grid_seed_0_screening_part_17,0,illumination_guided_unet,"[32, 64, 128, 256, 512]",batch,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
121,7760451,81,0.8085681200027466,19.04422378540039,0.09903956204652786,0.11751804112092308,a9f8f433a3af,illumination_guided_unet_grid_seed_0_screening_part_14,0,illumination_guided_unet,"[32, 64, 128, 256, 512]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
122,1925955,121,0.8082157373428345,18.670087814331055,0.10363209992647171,0.12126255089390105,4e7266916e4f,illumination_guided_unet_grid_seed_0_screening_part_06,0,illumination_guided_unet,"[32, 64, 128, 256]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
123,1925955,73,0.8077952265739441,18.73959732055664,0.10621748119592667,0.12341494404751321,7bf627207d91,illumination_guided_unet_grid_seed_0_screening_part_06,0,illumination_guided_unet,"[32, 64, 128, 256]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
124,1925955,81,0.8060424327850342,18.75162696838379,0.1047881692647934,0.122622048833232,9f4e4bf4915e,illumination_guided_unet_grid_seed_0_screening_part_06,0,illumination_guided_unet,"[32, 64, 128, 256]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
125,482915,58,0.8052045702934265,18.45161247253418,0.10844282060861588,0.12571335421956104,a5355f5af848,illumination_guided_unet_grid_seed_0_screening_part_02,0,illumination_guided_unet,"[16, 32, 64, 128]",batch,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
126,482915,37,0.8049361109733582,18.283239364624023,0.11120472103357315,0.1279765511120575,76b7eec02b5a,illumination_guided_unet_grid_seed_0_screening_part_02,0,illumination_guided_unet,"[16, 32, 64, 128]",batch,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
127,482915,27,0.8044493794441223,18.54541015625,0.10640671104192734,0.124235516657,6d4a3310c25c,illumination_guided_unet_grid_seed_0_screening_part_02,0,illumination_guided_unet,"[16, 32, 64, 128]",batch,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
