rank,config_id,seeds,num_parameters,mean_val_ssim,std_val_ssim,mean_val_psnr,std_val_psnr,mean_val_mae,std_val_mae,mean_val_loss,std_val_loss,experiment_name,model_name,channels,normalization,activation,group_count,upsampling,family_specific_config,lr,weight_decay,loss_name,l1_weight,ssim_weight,epochs,validation_rate,batch_size,num_workers,mixed_precision,deterministic,monitor,mode_monitor,min_delta,patience,tie_breaker,mode_tie_breaker
1,c368d8c386cb,"[1, 2, 3]",1927075,0.8655964533487955,0.003376915323817809,21.698546091715496,0.1746921953031597,0.07782356441020966,0.0013221491658436967,0.0963971227551428,0.0017638381455178942,fac_ecl_top3_multiseed,fac_ecl,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""loss"": {""low_frequency_weight"": 0.05, ""high_frequency_weight"": 0.2, ""consistency_weight"": 0.2, ""frequency_kernel_size"": 15, ""frequency_sigma"": 3.0, ""consistency"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}}}",0.0003,0.0001,fac_ecl,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
2,bcd04f2d83e7,"[1, 2, 3]",1927075,0.8631508549054464,0.0017970233774398864,21.73186747233073,0.06537233630044836,0.0770212213198344,0.0005879283575541302,0.09439696382353271,0.0008506049660418854,fac_ecl_top2_multiseed,fac_ecl,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""loss"": {""low_frequency_weight"": 0.05, ""high_frequency_weight"": 0.1, ""consistency_weight"": 0.02, ""frequency_kernel_size"": 15, ""frequency_sigma"": 3.0, ""consistency"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}}}",0.0002,0.0001,fac_ecl,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
3,b9136dd1d4a8,"[1, 2, 3]",1927075,0.859350303808848,0.0016268345750012141,21.385950724283855,0.1796625361720285,0.07944990694522858,0.0016138504370933353,0.10281878015125431,0.0018113370301835663,fac_ecl_top1_multiseed,fac_ecl,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""loss"": {""low_frequency_weight"": 0.1, ""high_frequency_weight"": 0.2, ""consistency_weight"": 0.1, ""frequency_kernel_size"": 15, ""frequency_sigma"": 3.0, ""consistency"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}}}",0.0005,0.0001,fac_ecl,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
