rank,config_id,seeds,num_parameters,mean_val_ssim,std_val_ssim,mean_val_psnr,std_val_psnr,mean_val_mae,std_val_mae,mean_val_loss,std_val_loss,experiment_name,model_name,channels,normalization,activation,group_count,upsampling,family_specific_config,lr,weight_decay,loss_name,l1_weight,ssim_weight,epochs,validation_rate,batch_size,num_workers,mixed_precision,deterministic,monitor,mode_monitor,min_delta,patience,tie_breaker,mode_tie_breaker
1,dd999be1c481,"[1, 2, 3]",1927363,0.863550861676534,0.00524926107245452,21.707738876342773,0.12865985864377574,0.0765585054953893,0.0012351988598967149,0.08853663860455803,0.001893894638313014,illumination_guided_unet_top3_multiseed_rank_3,illumination_guided_unet,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
2,38c1487128ca,"[1, 2, 3]",7763395,0.8623321453730265,0.005385617699280114,21.523005803426106,0.25122993710158853,0.0785000150402387,0.0030811140873998853,0.09033358305836645,0.0034355864858336845,illumination_guided_unet_top3_multiseed_rank_2,illumination_guided_unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
3,403ef5813446,"[1, 2, 3]",7763395,0.8605512181917826,0.0019983300616284905,21.516984939575195,0.0692889026115085,0.0785437027613322,0.0002316886423288342,0.09072472795772092,0.0005833109638558364,illumination_guided_unet_top3_multiseed_rank_1,illumination_guided_unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
