rank,config_id,seeds,num_parameters,mean_val_ssim,std_val_ssim,mean_val_psnr,std_val_psnr,mean_val_mae,std_val_mae,mean_val_loss,std_val_loss,experiment_name,model_name,channels,normalization,activation,group_count,upsampling,lr,weight_decay,loss_name,l1_weight,ssim_weight,epochs,validation_rate,batch_size,num_workers,mixed_precision,deterministic,monitor,mode_monitor,min_delta,patience,tie_breaker,mode_tie_breaker
1,d611afe91771,"[1, 2, 3]",7763107,0.8635952274004618,0.0013849489696922848,21.69111506144206,0.0720996467997454,0.07736638685067494,0.0005089439375259176,0.08917406449715297,0.00023837104229709242,unet_top3_multiseed_rank_1,unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,transposed,0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
2,5ee975693d05,"[1, 2, 3]",1927075,0.8610483606656393,0.0013846482689176209,21.51694107055664,0.20592142301966768,0.07903483510017395,0.0015627506817138118,0.09101819880486686,0.001507456792264282,unet_top3_multiseed_rank_3,unet,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
3,c9563ea9f5cc,"[1, 2, 3]",7849667,0.8567155202229818,0.005609383902755652,21.43554941813151,0.1844765988438436,0.07933030774195989,0.0018245703514347198,0.09212114237212904,0.0024502996902641162,unet_top3_multiseed_rank_2,unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,bilinear,0.0005,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
